Task,Metrics,Rhythm,Fold-1,Fold-2,Fold-3,Fold-4,Fold-5,Fold-6,Fold-7,Fold-8,Fold-9,Fold-10,Average
arousal,Accuracy,delta,0.9800347089767456,0.9866898059844971,0.9794560074806213,0.9835069179534912,0.9811921119689941,0.9858217835426331,0.9872685074806213,0.9832175970077515,0.9837962985038757,0.9806134104728699,0.9831597149372101
arousal,Accuracy,theta,0.9950810074806213,0.9849537014961243,0.9852430820465088,0.9869791865348816,0.9849537014961243,0.9846643805503845,0.9892939925193787,0.9907407164573669,0.9895833134651184,0.9884259104728699,0.9879918992519379
arousal,Accuracy,alpha,0.9904513955116272,0.9864004850387573,0.9785879850387573,0.9722222089767456,0.9811921119689941,0.9890046119689941,0.9800347089767456,0.9852430820465088,0.9884259104728699,0.9901620149612427,0.9841724514961243
arousal,Accuracy,beta,0.9869791865348816,0.9797453880310059,0.9901620149612427,0.9904513955116272,0.9887152910232544,0.9921875,0.9901620149612427,0.9837962985038757,0.9910300970077515,0.9916087985038757,0.9884837985038757
arousal,Accuracy,gamma,0.9910300970077515,0.9898726940155029,0.9809027910232544,0.9887152910232544,0.9916087985038757,0.9774305820465088,0.9890046119689941,0.9855324029922485,0.9927662014961243,0.9924768805503845,0.9879340350627899
dominance,Accuracy,delta,0.9852430820465088,0.9855324029922485,0.9846643805503845,0.9823495149612427,0.9855324029922485,0.9861111044883728,0.9875578880310059,0.9858217835426331,0.9837962985038757,0.9837962985038757,0.9850405156612396
dominance,Accuracy,theta,0.9846643805503845,0.9872685074806213,0.9875578880310059,0.9872685074806213,0.9864004850387573,0.9890046119689941,0.9878472089767456,0.9895833134651184,0.9800347089767456,0.9736689925193787,0.9853298604488373
dominance,Accuracy,alpha,0.9864004850387573,0.9945023059844971,0.9895833134651184,0.9872685074806213,0.9742476940155029,0.9878472089767456,0.9884259104728699,0.9933449029922485,0.9872685074806213,0.9916087985038757,0.9880497634410859
dominance,Accuracy,beta,0.9933449029922485,0.9916087985038757,0.9872685074806213,0.9881365895271301,0.9910300970077515,0.9861111044883728,0.9921875,0.9924768805503845,0.9794560074806213,0.9861111044883728,0.9887731492519378
dominance,Accuracy,gamma,0.9829282164573669,0.9942129850387573,0.9907407164573669,0.9866898059844971,0.9930555820465088,0.9936342835426331,0.9924768805503845,0.9913194179534912,0.9878472089767456,0.9855324029922485,0.98984375
valence,Accuracy,delta,0.9826388955116272,0.9797453880310059,0.9849537014961243,0.9869791865348816,0.9892939925193787,0.9832175970077515,0.9846643805503845,0.9849537014961243,0.9814814925193787,0.9814814925193787,0.9839409828186035
valence,Accuracy,theta,0.9832175970077515,0.9823495149612427,0.9887152910232544,0.9884259104728699,0.9869791865348816,0.9858217835426331,0.9791666865348816,0.9733796119689941,0.9736689925193787,0.9849537014961243,0.9826678276062012
valence,Accuracy,alpha,0.9918981194496155,0.9892939925193787,0.9924768805503845,0.984375,0.9875578880310059,0.9895833134651184,0.9892939925193787,0.9901620149612427,0.9820601940155029,0.9809027910232544,0.9877604186534882
valence,Accuracy,beta,0.9872685074806213,0.9910300970077515,0.9884259104728699,0.9780092835426331,0.9866898059844971,0.9849537014961243,0.9924768805503845,0.9904513955116272,0.9794560074806213,0.9317129850387573,0.9810474574565887
valence,Accuracy,gamma,0.9791666865348816,0.9875578880310059,0.9892939925193787,0.9869791865348816,0.9884259104728699,0.9791666865348816,0.9916087985038757,0.9921875,0.9887152910232544,0.9924768805503845,0.9875578820705414
